Seqid	RNA1	RNA2	RNA3	RNA4
0	0.0626	0.0905	0.12164	0.1558
1	0.04785	0.0649	0.0827	0.1026
2	0.010605	0.05035	0.0687	0.08844
3	0.02359	0.05548	0.093	0.1313
4	0.012955	0.02895	0.0481	0.0693
5	0.02444	0.04782	0.07056	0.0931
6	0.03217	0.0682	0.10504	0.1418
7	0.02121	0.0477	0.0814	0.116
8	0.00965	0.02039	0.033	0.04855
9	0.02249	0.04504	0.0674	0.08777
10	0.01393	0.0335	0.05615	0.08453
11	0.03134	0.06165	0.09393	0.1254
12	0.0254	0.05173	0.0809	0.11084
13	0.02074	0.0468	0.0758	0.1082
14	0.01714	0.03543	0.0564	0.07983
15	0.02237	0.045	0.06384	0.08575
16	0.02673	0.0525	0.0794	0.1049
17	0.0173	0.03876	0.066	0.0927
18	0.02852	0.0581	0.09015	0.1243
19	0.01602	0.03568	0.05606	0.07544
20	0.0452	0.0878	0.1236	0.1516
21	0.05093	0.0933	0.261	0.3015
22	0.03574	0.07776	0.12494	0.1776
23	0.02733	0.05835	0.0895	0.11847
24	0.01086	0.02812	0.05508	0.0909
25	0.02441	0.0484	0.07227	0.0971
26	0.0209	0.04437	0.06836	0.0911
27	0.03604	0.0775	0.1206	0.1671
28	0.02313	0.05057	0.08344	0.11957
29	0.01502	0.0319	0.05185	0.0753
30	0.00988	0.02179	0.0352	0.0514
31	0.02527	0.05194	0.0795	0.1092
32	0.02063	0.04245	0.0671	0.0928
33	0.03183	0.0658	0.1015	0.1393
34	0.01807	0.03738	0.0601	0.08435
35	0.00834	0.0209	0.03696	0.0539
36	0.02309	0.05243	0.084	0.1135
37	0.03035	0.0703	0.11566	0.1648
38	0.013374	0.1292	0.1505	0.1757
39	0.00119	0.00774	0.01668	0.02611
40	0.01288	0.02925	0.05084	0.0756
41	0.02791	0.05737	0.08636	0.1152
42	0.03445	0.06836	0.10223	0.1373
43	0.02419	0.05212	0.0801	0.10535
44	0.01634	0.03403	0.0546	0.07684
45	0.02327	0.04828	0.07623	0.10614
46	0.01016	0.02342	0.03796	0.05167
47	0.02103	0.0458	0.0789	0.1171
48	0.0188	0.0408	0.0635	0.0909
49	0.004547	0.01129	0.02174	0.03894
50	0.0643	0.08545	0.1056	0.1249
51	0.0146	0.03247	0.05286	0.0772
52	0.03226	0.0632	0.0918	0.1191
53	0.0173	0.03558	0.0538	0.0731
54	0.00546	0.01269	0.02144	0.03119
55	0.02127	0.04626	0.07275	0.0985
56	0.0339	0.0696	0.10724	0.1523
57	0.0424	0.09045	0.14	0.1935
58	0.03903	0.0746	0.1068	0.1449
59	0.02068	0.04507	0.1161	0.1545
